id,date,amount,description,category,recur
1,2024-01-27,2000.0,salary,INCOME,1
1,2024-02-10,2000.0,salary,INCOME,1
1,2024-02-24,2000.0,salary,INCOME,1
1,2024-03-09,2000.0,salary,INCOME,1
1,2024-03-23,2000.0,salary,INCOME,1
1,2024-04-06,2000.0,salary,INCOME,1
1,2024-04-20,2000.0,salary,INCOME,1
1,2024-05-04,2000.0,salary,INCOME,1
1,2024-05-18,2000.0,salary,INCOME,1
1,2024-06-01,2000.0,salary,INCOME,1
1,2024-06-15,2000.0,salary,INCOME,1
1,2024-06-29,2000.0,salary,INCOME,1
1,2024-07-13,2000.0,salary,INCOME,1
1,2024-07-27,2000.0,salary,INCOME,1
1,2024-08-10,2000.0,salary,INCOME,1
1,2024-08-24,2000.0,salary,INCOME,1
1,2024-09-07,2000.0,salary,INCOME,1
1,2024-09-21,2000.0,salary,INCOME,1
1,2024-10-05,2000.0,salary,INCOME,1
1,2024-10-19,2000.0,salary,INCOME,1
1,2024-11-02,2000.0,salary,INCOME,1
1,2024-11-16,2000.0,salary,INCOME,1
1,2024-11-30,2000.0,salary,INCOME,1
1,2024-12-14,2000.0,salary,INCOME,1
1,2024-12-28,2000.0,salary,INCOME,1
1,2025-01-11,2000.0,salary,INCOME,1
1,2025-01-25,2000.0,salary,INCOME,1
1,2025-02-08,2000.0,salary,INCOME,1
1,2025-02-22,2000.0,salary,INCOME,1
1,2025-03-08,2000.0,salary,INCOME,1
1,2025-03-22,2000.0,salary,INCOME,1
1,2025-04-05,2000.0,salary,INCOME,1
1,2025-04-19,2000.0,salary,INCOME,1
1,2025-05-03,2000.0,salary,INCOME,1
1,2025-05-17,2000.0,salary,INCOME,1
1,2025-05-31,2000.0,salary,INCOME,1
1,2025-06-14,2000.0,salary,INCOME,1
1,2025-06-28,2000.0,salary,INCOME,1
1,2025-07-12,2000.0,salary,INCOME,1
1,2025-07-26,2000.0,salary,INCOME,1
1,2025-08-09,2000.0,salary,INCOME,1
1,2025-08-23,2000.0,salary,INCOME,1
1,2025-09-06,2000.0,salary,INCOME,1
1,2025-09-20,2000.0,salary,INCOME,1
